,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
View Zerodha's guide on using tax reports for filing.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Client ID,DV1182,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
P&L Statement for Equity from 2025-04-01 to 2026-03-31,,,,,,,,,,,,
,,,,,,,,,,,,
Summary,,,,,,,,,,,,
,,,,,,,,,,,,
Charges,8049.3105,,,,,,,,,,,
Other Credit & Debit,-894.44,,,,,,,,,,,
Realized P&L,385849.25,,,,,,,,,,,
Unrealized P&L,106238.7392,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Charges,,,,,,,,,,,,
,,,,,,,,,,,,
Account Head,Amount,,,,,,,,,,,
Brokerage - Z,1275.43,,,,,,,,,,,
Exchange Transaction Charges - Z,196.9507,,,,,,,,,,,
Clearing Charges - Z,0,,,,,,,,,,,
Central GST - Z,0,,,,,,,,,,,
State GST - Z,0,,,,,,,,,,,
Integrated GST - Z,266.6685,,,,,,,,,,,
Securities Transaction Tax - Z,5843,,,,,,,,,,,
SEBI Turnover Fees - Z,5.9584,,,,,,,,,,,
Stamp Duty - Z,458,,,,,,,,,,,
IPFT,3.3029,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Symbol,ISIN,Quantity,Buy Value,Sell Value,Realized P&L,Realized P&L Pct.,Previous Closing Price,Open Quantity,Open Quantity Type,Open Value,Unrealized P&L,Unrealized P&L Pct.
ASHOKA,INE442H01029,225,39552,44551.5,4999.5,12.6403,102.13,0,,0,0,0
BANKBARODA,INE028A01039,105,29446.25,25044.6,-4401.65,-14.9481,247.6,0,,0,0,0
BHARATFORG,INE465A01025,21,28034.45,25326,-2708.45,-9.6611,1676.05,0,,0,0,0
BIOCON,INE376G01013,600,250680,240900,-9780,-3.9014,360.9,0,,0,0,0
CAMS,INE596I01020,80,308861.5,326232.3,17370.8,5.6241,625.9,0,,0,0,0
CDSL,INE736A01011,25,36702.7,38802.5,2099.8,5.7211,1119.4,0,,0,0,0
COALINDIA,INE522F01014,450,145235.65,174926.4,29690.75,20.4432,450.45,0,,0,0,0
CREDITACC,INE741K01010,10,12250,11975.1,-274.9,-2.2441,1158,0,,0,0,0
DATAPATTNS,INE0IX101010,20,54748.5,51092,-3656.5,-6.6787,3035.3,0,,0,0,0
GOLDBEES-E,INF204KB17I5,300,29562,34692,5130,17.3534,121.19,0,,0,0,0
GRSE,INE382Z01011,21,43621.65,49510.3,5888.65,13.4994,1972.8,0,,0,0,0
HCLTECH,INE860A01027,140,190003.9,213449.75,23445.85,12.3397,1341.6,0,,0,0,0
HINDZINC,INE267A01025,130,41604.1,57018,15413.9,37.049,502.2,0,,0,0,0
IRCTC,INE335Y01020,232,165114.4,164680.25,-434.15,-0.2629,494.5,0,,0,0,0
JIOFIN-BL,INE758E01017,224,55272.2,69608,14335.8,25.9367,232.55,0,,0,0,0
JSWENERGY,INE121E01018,13,9521.95,6806.15,-2715.8,-28.5215,472.35,0,,0,0,0
MAZDOCK,INE249Z01020,36,86029.75,88560,2530.25,2.9411,2065.2,0,,0,0,0
MODEFENCE,INF247L01DJ0,300,26841,24960,-1881,-7.0079,78.59,0,,0,0,0
MPHASIS,INE356A01018,48,92234.55,130080,37845.45,41.0318,2053.95,0,,0,0,0
OFSS,INE881D01027,70,462237.7,591430,129192.3,27.9493,6731,0,,0,0,0
ONGC,INE213A01029,9,2322,2126.25,-195.75,-8.4302,284.65,0,,0,0,0
POWERGRID,INE752E01010,510,104324.15,144840,40515.85,38.8365,296.2,0,,0,0,0
RELIANCE,INE002A01018,20,24708,28462.9,3754.9,15.1971,1344.25,0,,0,0,0
TATAPOWER,INE245A01021,10,4369.5,4071.5,-298,-6.82,378.75,0,,0,0,0
VEDL,INE205A01025,550,156619.45,236601.1,79981.65,51.0675,654.85,0,,0,0,0
